policy,budget_fraction,budget_inr,expected_value_inr,expected_cost_inr,treatment_rate,capacity_aware,marginal_budget_value_inr
random,0.1,157.49999999999997,137.85614257876566,152.6,0.064,False,0.0
optimized,0.1,157.49999999999997,628.2613797735046,157.5,0.1,True,22.60103344116942
random,0.25,393.7499999999999,396.01821681080065,388.84999999999997,0.14,False,0.0
optimized,0.25,393.7499999999999,1350.7859447952235,390.6,0.248,True,0.0
random,0.5,787.4999999999998,723.0431399873686,784.7,0.268,False,0.0
optimized,0.5,787.4999999999998,2038.302910709346,787.4999999999995,0.5,True,1.391465711334149
random,0.75,1181.2499999999995,931.4019687327328,1180.55,0.396,False,0.0
optimized,0.75,1181.2499999999995,2039.24723267012,800.4499999999996,0.5,True,0.0
random,1.0,1574.9999999999995,1259.3230388275967,1570.1000000000001,0.52,False,0.0
optimized,1.0,1574.9999999999995,2039.24723267012,800.4499999999996,0.5,True,0.0
