policy,budget_fraction,budget_inr,expected_value,expected_cost,treatment_rate
none,0.1,157.49999999999997,0.0,0.0,0.0
all,0.1,157.49999999999997,283.33414585266354,151.2,0.096
random,0.1,157.49999999999997,137.85614257876566,152.6,0.064
propensity,0.1,157.49999999999997,410.38852966837374,152.95,0.056
uplift,0.1,157.49999999999997,283.1597046776578,154.0,0.032
net_value,0.1,157.49999999999997,283.1597046776578,154.0,0.032
optimized,0.1,157.49999999999997,628.2613797735046,157.5,0.1
none,0.25,393.7499999999999,0.0,0.0,0.0
all,0.25,393.7499999999999,822.5167499795202,390.5999999999999,0.248
random,0.25,393.7499999999999,396.01821681080065,388.84999999999997,0.14
propensity,0.25,393.7499999999999,937.6107339279401,388.5,0.148
uplift,0.25,393.7499999999999,656.4137001763473,391.3,0.084
net_value,0.25,393.7499999999999,656.4137001763473,391.3,0.084
optimized,0.25,393.7499999999999,1350.7859447952235,390.6,0.248
none,0.5,787.4999999999998,0.0,0.0,0.0
all,0.5,787.4999999999998,1640.3588285190192,787.4999999999998,0.5
random,0.5,787.4999999999998,723.0431399873686,784.7,0.268
propensity,0.5,787.4999999999998,1491.4998623142098,784.6999999999999,0.268
uplift,0.5,787.4999999999998,1142.0934482189914,782.6,0.168
net_value,0.5,787.4999999999998,1142.0934482189914,782.6,0.168
optimized,0.5,787.4999999999998,2038.302910709346,787.4999999999995,0.5
none,0.75,1181.2499999999995,0.0,0.0,0.0
all,0.75,1181.2499999999995,2214.3492809795825,1178.0999999999997,0.748
random,0.75,1181.2499999999995,931.4019687327328,1180.55,0.396
propensity,0.75,1181.2499999999995,1939.1710037072894,1180.55,0.396
uplift,0.75,1181.2499999999995,1499.7584004398395,1180.55,0.248
net_value,0.75,1181.2499999999995,2003.2441685834078,1175.3,0.368
optimized,0.75,1181.2499999999995,2039.24723267012,800.4499999999996,0.5
none,1.0,1574.9999999999995,0.0,0.0,0.0
all,1.0,1574.9999999999995,2984.881179264552,1574.9999999999995,1.0
random,1.0,1574.9999999999995,1259.3230388275967,1570.1000000000001,0.52
propensity,1.0,1574.9999999999995,2230.1998866353524,1569.75,0.528
uplift,1.0,1574.9999999999995,1816.8356303144228,1571.85,0.332
net_value,1.0,1574.9999999999995,2709.6366346431014,1572.1999999999998,0.62
optimized,1.0,1574.9999999999995,2039.24723267012,800.4499999999996,0.5
